# L1 = 1, c = 1, a = 1, mu_eta = 1.5, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.2045e-07, 91, 7.96323e-07, 2.1693e-115, 34227.3, 5.85508e+26, 0.00011698, 0.000815469
1.2045e-07, 92, 8.31212e-07, 1.14635e-116, 32230.5, 6.11672e+26, 0.000120407, 0.000902191
1.2045e-07, 93, 8.67192e-07, 6.0539e-118, 30369.9, 6.38703e+26, 0.000123896, 0.000878856
1.2045e-07, 94, 9.04283e-07, 3.19509e-119, 28635, 6.6662e+26, 0.000127447, 0.000971039
1.2045e-07, 95, 9.42708e-07, 1.68525e-120, 27016, 6.95443e+26, 0.000131061, 0.000945649
1.2045e-07, 96, 9.82773e-07, 8.88354e-122, 25504, 7.2519e+26, 0.000134739, 0.00104351
1.2045e-07, 97, 1.02264e-06, 4.68007e-123, 24091.1, 7.55882e+26, 0.00013848, 0.00101595
1.2045e-07, 98, 1.06415e-06, 2.46416e-124, 22769.7, 7.87538e+26, 0.000142286, 0.0011197
1.2045e-07, 99, 1.10773e-06, 1.2967e-125, 21533.1, 8.20178e+26, 0.000146156, 0.00108986
1.2045e-07, 100, 1.15118e-06, 6.81982e-127, 20375.2, 8.53822e+26, 0.000150092, 0.00119973
1.2045e-07, 101, 1.19738e-06, 3.58484e-128, 19290.1, 8.8849e+26, 0.000154093, 0.00116749
1.2045e-07, 102, 1.2442e-06, 1.88337e-129, 18272.6, 9.24204e+26, 0.00015816, 0.00128369
1.2045e-07, 103, 1.29191e-06, 9.88955e-131, 17317.9, 9.60984e+26, 0.000162294, 0.00124895
1.2045e-07, 104, 1.34086e-06, 5.19033e-132, 16421.7, 9.98851e+26, 0.000166494, 0.0013717
1.2045e-07, 105, 1.39157e-06, 2.72268e-133, 15579.7, 1.03783e+27, 0.000170762, 0.00133433
1.45083e-07, 5, 5.57062e-12, 3.41102e+11, 2.42075e+11, 3.05368e+21, 7.27884e-08, 6.10644e-08
1.45083e-07, 6, 1.21198e-11, 1.22461e+09, 8.88082e+10, 6.3321e+21, 1.12206e-07, 1.13006e-07
1.45083e-07, 7, 2.33576e-11, 4.1829e+06, 3.80405e+10, 1.1731e+22, 1.62581e-07, 1.63541e-07
1.45083e-07, 8, 4.12387e-11, 13764.8, 1.82511e+10, 2.00126e+22, 2.24945e-07, 2.65912e-07
1.45083e-07, 9, 6.81443e-11, 43.9456, 9.54885e+09, 3.20563e+22, 3.0029e-07, 3.49419e-07
1.45083e-07, 10, 1.06712e-10, 0.136932, 5.34915e+09, 4.88588e+22, 3.89572e-07, 5.27066e-07
1.45083e-07, 11, 1.60083e-10, 0.000418207, 3.16683e+09, 7.15342e+22, 4.93714e-07, 6.51646e-07
1.45083e-07, 12, 2.31737e-10, 1.20225e-06, 1.9624e+09, 1.01314e+23, 6.13613e-07, 9.33514e-07
1.45083e-07, 13, 3.25722e-10, 3.53209e-09, 1.26356e+09, 1.39546e+23, 7.50139e-07, 1.10618e-06
1.45083e-07, 14, 4.46472e-10, 1.0249e-11, 8.40584e+08, 1.87696e+23, 9.04142e-07, 1.52543e-06
1.45083e-07, 15, 5.98592e-10, 2.94192e-14, 5.75153e+08, 2.47348e+23, 1.07645e-06, 1.75202e-06
1.45083e-07, 16, 7.86121e-10, 8.36547e-17, 4.03297e+08, 3.20201e+23, 1.26788e-06, 2.346e-06
