# L1 = 1.5, c = 1, a = 1, mu_eta = 1, mu_delta = 1, xi_inf = 0.01, has_dp = 1
LAMBDA, N, RD_ETA, RD_DELTA, (SIG_ETA / M_ETA), (SIG_DELTA / M_DELTA), DELTA_NEFF_CMB, DELTA_NEFF_BBN
1.2045e-07, 62, 3.44977e-07, 1.62268e-78, 37195.4, 1.26164e+26, 4.25366e-05, 0.00023139
1.2045e-07, 63, 3.65875e-07, 8.81315e-80, 34062, 1.34502e+26, 4.43652e-05, 0.00022753
1.2045e-07, 64, 3.89025e-07, 4.78015e-81, 31235.9, 1.43248e+26, 4.62422e-05, 0.00025804
1.2045e-07, 65, 4.13145e-07, 2.5893e-82, 28682.7, 1.52413e+26, 4.81681e-05, 0.000253471
1.2045e-07, 66, 4.38321e-07, 1.40078e-83, 26372.6, 1.6201e+26, 5.01433e-05, 0.000286795
1.2045e-07, 67, 4.64939e-07, 7.56865e-85, 24279.1, 1.72055e+26, 5.21683e-05, 0.000281448
1.2045e-07, 68, 4.92327e-07, 4.08458e-86, 22379.2, 1.82559e+26, 5.42437e-05, 0.00031775
1.2045e-07, 69, 5.20592e-07, 2.20177e-87, 20652.6, 1.93537e+26, 5.637e-05, 0.000311554
1.2045e-07, 70, 5.50299e-07, 1.1855e-88, 19081.2, 2.05003e+26, 5.85476e-05, 0.000350999
1.2045e-07, 71, 5.81213e-07, 6.37613e-90, 17649.1, 2.1697e+26, 6.0777e-05, 0.000343878
1.2045e-07, 72, 6.1338e-07, 3.42568e-91, 16342.4, 2.29455e+26, 6.30587e-05, 0.000386638
1.2045e-07, 73, 6.49556e-07, 1.83859e-92, 15148.5, 2.4247e+26, 6.53931e-05, 0.000378516
1.2045e-07, 74, 6.81775e-07, 9.85788e-94, 14056.3, 2.56032e+26, 6.77809e-05, 0.000424765
1.2045e-07, 75, 7.17403e-07, 5.28025e-95, 13055.9, 2.70155e+26, 7.02224e-05, 0.00041556
1.2045e-07, 76, 7.54631e-07, 2.82558e-96, 12138.7, 2.84853e+26, 7.27181e-05, 0.000465477
